species_name,genome_file_name,cds_file_name,original_name,cds_url,genome_url,proteome_url,source
aspergillus_niger,aspergillus_niger_genomic.fna,aspergillus_niger_cds.fna,aspergillus_niger,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002855.3/download?include_annotation_type=CDS_FASTA"" --output aspergillus_niger_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002855.3/download?include_annotation_type=GENOME_FASTA"" --output aspergillus_niger_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002855.3/download?include_annotation_type=PROT_FASTA"" --output aspergillus_niger_prot_download.zip",NCBI
rhizopus_delemar,rhizopus_delemar_genomic.fna,rhizopus_delemar_cds.fna,rhizopus_delemar,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000149305.1/download?include_annotation_type=CDS_FASTA"" --output rhizopus_delemar_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000149305.1/download?include_annotation_type=GENOME_FASTA"" --output rhizopus_delemar_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000149305.1/download?include_annotation_type=PROT_FASTA"" --output rhizopus_delemar_prot_download.zip",NCBI
serpula_lacrymans,serpula_lacrymans_genomic.fna,serpula_lacrymans_cds.fna,serpula_lacrymans,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000218685.1/download?include_annotation_type=CDS_FASTA"" --output serpula_lacrymans_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000218685.1/download?include_annotation_type=GENOME_FASTA"" --output serpula_lacrymans_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000218685.1/download?include_annotation_type=PROT_FASTA"" --output serpula_lacrymans_prot_download.zip",NCBI
agaricus_bisporus,agaricus_bisporus_genomic.fna,agaricus_bisporus_cds.fna,agaricus_bisporus,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000300575.1/download?include_annotation_type=CDS_FASTA"" --output agaricus_bisporus_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000300575.1/download?include_annotation_type=GENOME_FASTA"" --output agaricus_bisporus_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000300575.1/download?include_annotation_type=PROT_FASTA"" --output agaricus_bisporus_prot_download.zip",NCBI
verticillium_dahliae,verticillium_dahliae_genomic.fna,verticillium_dahliae_cds.fna,verticillium_dahliae,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=CDS_FASTA"" --output verticillium_dahliae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=GENOME_FASTA"" --output verticillium_dahliae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=PROT_FASTA"" --output verticillium_dahliae_prot_download.zip",NCBI
saccharomyces_pastorianus,saccharomyces_pastorianus_genomic.fna,saccharomyces_pastorianus_cds.fna,saccharomyces_pastorianus,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=CDS_FASTA"" --output saccharomyces_pastorianus_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=GENOME_FASTA"" --output saccharomyces_pastorianus_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=PROT_FASTA"" --output saccharomyces_pastorianus_prot_download.zip",NCBI
coccidioides_immitis,coccidioides_immitis_genomic.fna,coccidioides_immitis_cds.fna,coccidioides_immitis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=CDS_FASTA"" --output coccidioides_immitis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=GENOME_FASTA"" --output coccidioides_immitis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=PROT_FASTA"" --output coccidioides_immitis_prot_download.zip",NCBI
blastomyces_dermatitidis,blastomyces_dermatitidis_genomic.fna,blastomyces_dermatitidis_cds.fna,blastomyces_dermatitidis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=CDS_FASTA"" --output blastomyces_dermatitidis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=GENOME_FASTA"" --output blastomyces_dermatitidis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=PROT_FASTA"" --output blastomyces_dermatitidis_prot_download.zip",NCBI
histoplasma_capsulatum,histoplasma_capsulatum_genomic.fna,histoplasma_capsulatum_cds.fna,histoplasma_capsulatum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=CDS_FASTA"" --output histoplasma_capsulatum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=GENOME_FASTA"" --output histoplasma_capsulatum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=PROT_FASTA"" --output histoplasma_capsulatum_prot_download.zip",NCBI
penicillium_oxalicum,penicillium_oxalicum_genomic.fna,penicillium_oxalicum_cds.fna,penicillium_oxalicum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=CDS_FASTA"" --output penicillium_oxalicum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=GENOME_FASTA"" --output penicillium_oxalicum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=PROT_FASTA"" --output penicillium_oxalicum_prot_download.zip",NCBI
kwoniella_mangrovensis,kwoniella_mangrovensis_genomic.fna,kwoniella_mangrovensis_cds.fna,kwoniella_mangrovensis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000507465.1/download?include_annotation_type=CDS_FASTA"" --output kwoniella_mangrovensis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000507465.1/download?include_annotation_type=GENOME_FASTA"" --output kwoniella_mangrovensis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000507465.1/download?include_annotation_type=PROT_FASTA"" --output kwoniella_mangrovensis_prot_download.zip",NCBI
drepanopeziza_brunnea,drepanopeziza_brunnea_genomic.fna,drepanopeziza_brunnea_cds.fna,drepanopeziza_brunnea,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=CDS_FASTA"" --output drepanopeziza_brunnea_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=GENOME_FASTA"" --output drepanopeziza_brunnea_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=PROT_FASTA"" --output drepanopeziza_brunnea_prot_download.zip",NCBI
penicillium_digitatum,penicillium_digitatum_genomic.fna,penicillium_digitatum_cds.fna,penicillium_digitatum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=CDS_FASTA"" --output penicillium_digitatum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=GENOME_FASTA"" --output penicillium_digitatum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=PROT_FASTA"" --output penicillium_digitatum_prot_download.zip",NCBI
rhodotorula_toruloides,rhodotorula_toruloides_genomic.fna,rhodotorula_toruloides_cds.fna,rhodotorula_toruloides,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000320785.1/download?include_annotation_type=CDS_FASTA"" --output rhodotorula_toruloides_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000320785.1/download?include_annotation_type=GENOME_FASTA"" --output rhodotorula_toruloides_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000320785.1/download?include_annotation_type=PROT_FASTA"" --output rhodotorula_toruloides_prot_download.zip",NCBI
brettanomyces_bruxellensis,brettanomyces_bruxellensis_genomic.fna,brettanomyces_bruxellensis_cds.fna,brettanomyces_bruxellensis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011074885.1/download?include_annotation_type=CDS_FASTA"" --output brettanomyces_bruxellensis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011074885.1/download?include_annotation_type=GENOME_FASTA"" --output brettanomyces_bruxellensis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011074885.1/download?include_annotation_type=PROT_FASTA"" --output brettanomyces_bruxellensis_prot_download.zip",NCBI
puccinia_triticina,puccinia_triticina_genomic.fna,puccinia_triticina_cds.fna,puccinia_triticina,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_026914185.1/download?include_annotation_type=CDS_FASTA"" --output puccinia_triticina_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_026914185.1/download?include_annotation_type=GENOME_FASTA"" --output puccinia_triticina_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_026914185.1/download?include_annotation_type=PROT_FASTA"" --output puccinia_triticina_prot_download.zip",NCBI
botrytis_cinerea,botrytis_cinerea_genomic.fna,botrytis_cinerea_cds.fna,botrytis_cinerea,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143535.2/download?include_annotation_type=CDS_FASTA"" --output botrytis_cinerea_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143535.2/download?include_annotation_type=GENOME_FASTA"" --output botrytis_cinerea_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143535.2/download?include_annotation_type=PROT_FASTA"" --output botrytis_cinerea_prot_download.zip",NCBI
schizophyllum_commune,schizophyllum_commune_genomic.fna,schizophyllum_commune_cds.fna,schizophyllum_commune,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143185.2/download?include_annotation_type=CDS_FASTA"" --output schizophyllum_commune_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143185.2/download?include_annotation_type=GENOME_FASTA"" --output schizophyllum_commune_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143185.2/download?include_annotation_type=PROT_FASTA"" --output schizophyllum_commune_prot_download.zip",NCBI
yarrowia_lipolytica,yarrowia_lipolytica_genomic.fna,yarrowia_lipolytica_cds.fna,yarrowia_lipolytica,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002525.2/download?include_annotation_type=CDS_FASTA"" --output yarrowia_lipolytica_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002525.2/download?include_annotation_type=GENOME_FASTA"" --output yarrowia_lipolytica_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002525.2/download?include_annotation_type=PROT_FASTA"" --output yarrowia_lipolytica_prot_download.zip",NCBI
trichophyton_interdigitale,trichophyton_interdigitale_genomic.fna,trichophyton_interdigitale_cds.fna,trichophyton_interdigitale,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_019359935.1/download?include_annotation_type=CDS_FASTA"" --output trichophyton_interdigitale_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_019359935.1/download?include_annotation_type=GENOME_FASTA"" --output trichophyton_interdigitale_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_019359935.1/download?include_annotation_type=PROT_FASTA"" --output trichophyton_interdigitale_prot_download.zip",NCBI
aspergillus_luchuensis,aspergillus_luchuensis_genomic.fna,aspergillus_luchuensis_cds.fna,aspergillus_luchuensis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016861625.1/download?include_annotation_type=CDS_FASTA"" --output aspergillus_luchuensis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016861625.1/download?include_annotation_type=GENOME_FASTA"" --output aspergillus_luchuensis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016861625.1/download?include_annotation_type=PROT_FASTA"" --output aspergillus_luchuensis_prot_download.zip",NCBI
