species_name,genome_file_name,cds_file_name,gff_file_name,original_name,cds_url,genome_url,proteome_url,gff_url,source,gff_urls
aspergillus_oryzae,aspergillus_oryzae_genomic.fna,aspergillus_oryzae_cds_from_gff.fna,aspergillus_oryzae.gff,aspergillus_oryzae,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=CDS_FASTA"" --output aspergillus_oryzae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=GENOME_FASTA"" --output aspergillus_oryzae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=PROT_FASTA"" --output aspergillus_oryzae_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=GENOME_GFF"" --output aspergillus_oryzae_gff_download.zip",NCBI,
zymoseptoria_tritici,zymoseptoria_tritici_genomic.fna,zymoseptoria_tritici_cds_from_gff.fna,zymoseptoria_tritici.gff,zymoseptoria_tritici,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=CDS_FASTA"" --output zymoseptoria_tritici_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=GENOME_FASTA"" --output zymoseptoria_tritici_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=PROT_FASTA"" --output zymoseptoria_tritici_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=GENOME_GFF"" --output zymoseptoria_tritici_gff_download.zip",NCBI,
aspergillus_fumigatus,aspergillus_fumigatus_genomic.fna,aspergillus_fumigatus_cds_from_gff.fna,aspergillus_fumigatus.gff,aspergillus_fumigatus,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=CDS_FASTA"" --output aspergillus_fumigatus_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=GENOME_FASTA"" --output aspergillus_fumigatus_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=PROT_FASTA"" --output aspergillus_fumigatus_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=GENOME_GFF"" --output aspergillus_fumigatus_gff_download.zip",NCBI,
rhizopus_microsporus,rhizopus_microsporus_genomic.fna,rhizopus_microsporus_cds_from_gff.fna,rhizopus_microsporus.gff,rhizopus_microsporus,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002708625.1/download?include_annotation_type=CDS_FASTA"" --output rhizopus_microsporus_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002708625.1/download?include_annotation_type=GENOME_FASTA"" --output rhizopus_microsporus_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002708625.1/download?include_annotation_type=PROT_FASTA"" --output rhizopus_microsporus_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002708625.1/download?include_annotation_type=GENOME_GFF"" --output rhizopus_microsporus_gff_download.zip",NCBI,
aspergillus_niger,aspergillus_niger_genomic.fna,aspergillus_niger_cds_from_gff.fna,aspergillus_niger.gff,aspergillus_niger,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002855.4/download?include_annotation_type=CDS_FASTA"" --output aspergillus_niger_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002855.4/download?include_annotation_type=GENOME_FASTA"" --output aspergillus_niger_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002855.4/download?include_annotation_type=PROT_FASTA"" --output aspergillus_niger_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002855.4/download?include_annotation_type=GENOME_GFF"" --output aspergillus_niger_gff_download.zip",NCBI,
rhizopus_delemar,rhizopus_delemar_genomic.fna,rhizopus_delemar_cds_from_gff.fna,rhizopus_delemar.gff,rhizopus_delemar,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000149305.1/download?include_annotation_type=CDS_FASTA"" --output rhizopus_delemar_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000149305.1/download?include_annotation_type=GENOME_FASTA"" --output rhizopus_delemar_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000149305.1/download?include_annotation_type=PROT_FASTA"" --output rhizopus_delemar_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000149305.1/download?include_annotation_type=GENOME_GFF"" --output rhizopus_delemar_gff_download.zip",NCBI,
serpula_lacrymans,serpula_lacrymans_genomic.fna,serpula_lacrymans_cds_from_gff.fna,serpula_lacrymans.gff,serpula_lacrymans,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000218685.1/download?include_annotation_type=CDS_FASTA"" --output serpula_lacrymans_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000218685.1/download?include_annotation_type=GENOME_FASTA"" --output serpula_lacrymans_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000218685.1/download?include_annotation_type=PROT_FASTA"" --output serpula_lacrymans_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000218685.1/download?include_annotation_type=GENOME_GFF"" --output serpula_lacrymans_gff_download.zip",NCBI,
agaricus_bisporus,agaricus_bisporus_genomic.fna,agaricus_bisporus_cds_from_gff.fna,agaricus_bisporus.gff,agaricus_bisporus,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000300575.1/download?include_annotation_type=CDS_FASTA"" --output agaricus_bisporus_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000300575.1/download?include_annotation_type=GENOME_FASTA"" --output agaricus_bisporus_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000300575.1/download?include_annotation_type=PROT_FASTA"" --output agaricus_bisporus_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000300575.1/download?include_annotation_type=GENOME_GFF"" --output agaricus_bisporus_gff_download.zip",NCBI,
verticillium_dahliae,verticillium_dahliae_genomic.fna,verticillium_dahliae_cds_from_gff.fna,verticillium_dahliae.gff,verticillium_dahliae,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=CDS_FASTA"" --output verticillium_dahliae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=GENOME_FASTA"" --output verticillium_dahliae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=PROT_FASTA"" --output verticillium_dahliae_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=GENOME_GFF"" --output verticillium_dahliae_gff_download.zip",NCBI,
saccharomyces_pastorianus,saccharomyces_pastorianus_genomic.fna,saccharomyces_pastorianus_cds_from_gff.fna,saccharomyces_pastorianus.gff,saccharomyces_pastorianus,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=CDS_FASTA"" --output saccharomyces_pastorianus_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=GENOME_FASTA"" --output saccharomyces_pastorianus_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=PROT_FASTA"" --output saccharomyces_pastorianus_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=GENOME_GFF"" --output saccharomyces_pastorianus_gff_download.zip",NCBI,
coccidioides_immitis,coccidioides_immitis_genomic.fna,coccidioides_immitis_cds_from_gff.fna,coccidioides_immitis.gff,coccidioides_immitis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=CDS_FASTA"" --output coccidioides_immitis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=GENOME_FASTA"" --output coccidioides_immitis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=PROT_FASTA"" --output coccidioides_immitis_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=GENOME_GFF"" --output coccidioides_immitis_gff_download.zip",NCBI,
blastomyces_dermatitidis,blastomyces_dermatitidis_genomic.fna,blastomyces_dermatitidis_cds_from_gff.fna,blastomyces_dermatitidis.gff,blastomyces_dermatitidis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=CDS_FASTA"" --output blastomyces_dermatitidis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=GENOME_FASTA"" --output blastomyces_dermatitidis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=PROT_FASTA"" --output blastomyces_dermatitidis_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=GENOME_GFF"" --output blastomyces_dermatitidis_gff_download.zip",NCBI,
histoplasma_capsulatum,histoplasma_capsulatum_genomic.fna,histoplasma_capsulatum_cds_from_gff.fna,histoplasma_capsulatum.gff,histoplasma_capsulatum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=CDS_FASTA"" --output histoplasma_capsulatum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=GENOME_FASTA"" --output histoplasma_capsulatum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=PROT_FASTA"" --output histoplasma_capsulatum_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=GENOME_GFF"" --output histoplasma_capsulatum_gff_download.zip",NCBI,
penicillium_oxalicum,penicillium_oxalicum_genomic.fna,penicillium_oxalicum_cds_from_gff.fna,penicillium_oxalicum.gff,penicillium_oxalicum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=CDS_FASTA"" --output penicillium_oxalicum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=GENOME_FASTA"" --output penicillium_oxalicum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=PROT_FASTA"" --output penicillium_oxalicum_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=GENOME_GFF"" --output penicillium_oxalicum_gff_download.zip",NCBI,
kwoniella_mangrovensis,kwoniella_mangrovensis_genomic.fna,kwoniella_mangrovensis_cds_from_gff.fna,kwoniella_mangrovensis.gff,kwoniella_mangrovensis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000507465.1/download?include_annotation_type=CDS_FASTA"" --output kwoniella_mangrovensis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000507465.1/download?include_annotation_type=GENOME_FASTA"" --output kwoniella_mangrovensis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000507465.1/download?include_annotation_type=PROT_FASTA"" --output kwoniella_mangrovensis_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000507465.1/download?include_annotation_type=GENOME_GFF"" --output kwoniella_mangrovensis_gff_download.zip",NCBI,
drepanopeziza_brunnea,drepanopeziza_brunnea_genomic.fna,drepanopeziza_brunnea_cds_from_gff.fna,drepanopeziza_brunnea.gff,drepanopeziza_brunnea,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=CDS_FASTA"" --output drepanopeziza_brunnea_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=GENOME_FASTA"" --output drepanopeziza_brunnea_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=PROT_FASTA"" --output drepanopeziza_brunnea_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=GENOME_GFF"" --output drepanopeziza_brunnea_gff_download.zip",NCBI,
penicillium_digitatum,penicillium_digitatum_genomic.fna,penicillium_digitatum_cds_from_gff.fna,penicillium_digitatum.gff,penicillium_digitatum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=CDS_FASTA"" --output penicillium_digitatum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=GENOME_FASTA"" --output penicillium_digitatum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=PROT_FASTA"" --output penicillium_digitatum_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=GENOME_GFF"" --output penicillium_digitatum_gff_download.zip",NCBI,
